阶段,里程碑/确认点,日期,周数,工作内容,输出/Gate,不可顺延,负责团队,状态,健康,关键路径,备注
1,需求冻结与现场复测,2026-06-15至06-26,2,需求范围接口验收口径确认+珠海场地复测,需求冻结会6/26关A4/A8+边界确认表,是,项目管理,进行中,Amber,否,阶段1
1,需求冻结会,2026-06-26,—,范围接口验收口径+A4/A8决策,边界确认表,是,甲方确认点,未达,Amber,否,F1a冻结
2,LED尺寸结构冻结下单,2026-07-10,—,LED异形屏尺寸结构排产冻结,下单,是,LED显示工程师,未达,Green,是,F1b冻结·关键路径起点
2,深化设计,2026-06-29至07-24,4,舱体座舱域LED软件内容接口同步深化,深化设计评审7/24,否,技术负责人,未启动,Green,否,阶段2
2,三端UI原型评审,2026-07-17,—,三端界面交互评审,UI原型确认,否,甲方确认点,未达,Green,否,
2,深化设计评审,2026-07-24,—,锁接口字段,深化设计冻结+A7关闭,否,甲方确认点,未达,Green,否,F2锁定
3,设备采购与生产,2026-07-27至09-18,8,LED座椅震动健康播控音视频生产到货,关键设备到货9/11-9/18,否,技术集成,未启动,Green,是,与阶段4并行
4,软件开发与内容制作,2026-07-27至09-18,8,后端三端开发+内容脚本到分屏联动,内容样片评审8/21关A2+A3返回,否,软件/内容,未启动,Green,否,与阶段3并行
4,内容样片评审,2026-08-21,—,内容样片+科学性参数审定A3,样片确认,否,甲方确认点,未达,Green,否,
5,乙方现场整舱安装与集成调试,2026-09-14至10-20,5.5,45度CAVE预演到整舱总装到全流程异常测试T01-T08,45度预演9/25+全流程测试10/20关A1,否,现场实施/测试,未启动,Green,是,国庆连续作业
5,45度CAVE模组预演见证,2026-09-25,—,LED工艺图像融合三屏时序验证,预演见证+A1关闭,否,甲方确认点,未达,Green,是,工厂预调
5,整舱全流程联动测试见证,2026-10-20,—,T01-T08全流程通过,测试通过,否,甲方确认点,未达,Green,是,
6,出厂验收与培训,2026-10-21至10-31,1.5,十二大类验收+培训+发运准备,出厂验收10/31=交付,否,测试/运维,未启动,Green,是,阶段6
6,出厂验收,2026-10-31,—,达成10月底交付,出厂验收+操作人员上岗确认,否,甲方确认点,未达,Green,是,交付节点
7,发运与珠海进场安装,2026-11上旬,—,发运珠海+吊装复装布线供电,进场窗口以组委会为准,否,现场实施,未启动,Green,是,组委会安排
8,联调恢复与运行就绪,进场后至11-09,—,复装校正回归测试彩排备件,运行就绪确认11/9,否,测试/现场,未启动,Green,是,珠海现场最小化
8,珠海现场运行就绪确认,2026-11-09,—,全要素彩排+现场运行验收,运行就绪,否,甲方确认点,未达,Green,是,
—,珠海航展开幕,2026-11-10,—,正式对外运行,—,外部硬日期,运营,未达,Green,是,不可动
