编号,等级,类别,风险,描述,概率,影响,缓解措施,负责人,触发里程碑,状态,最近评审,备注
R01,高,技术-硬件,前排座椅 180° 旋转安全,4 人乘坐下座椅旋转；卡死/失控/夹手=重大安全事故,中,A 类安全,机械+电气双限位；旋转提示音；独立评审；≥100 次循环测试；现场工程师,,设计锁定+制造测试,未开始,,A 类安全；最高优先
R02,高,进度-接口,客户接口规格延迟,14 个甲供件需在 15 工作日内给规格；延迟则开发无法启动,高,软硬件无法启动,15 天义务；接口追踪表；并行无依赖工作；到货即启动,,开工后 15 工作日内,进行中,,由接口 SOP 管理
R03,高,技术-软件,多屏实时同步稳定性,5 屏+灯光/机构/座椅/音频同步；高负载易卡顿；需 ≥8h 不重启,高,演示中断,域控 ≥8(建议16)核；异步队列；分场景压测；降级策略；视频兜底,,集成 W22-26,未开始,,跨站点：杭州软件
R04,高,进度-并行,多团队并行 级联依赖,7 团队并行；依赖复杂(造型→骨架→机构→软件)；任一滑动级联,高,全局级联延迟,开工建依赖图；关键路径缓冲；周评审；专人协调,,全周期 W1-W30,进行中,,已有依赖图+甘特
R05,高,技术-硬件,健康数据真实性 vs 效果,传感器为 ES 样件；嘈杂展会或致精度不稳；观众期待真实数据,中,效果打折,设计期定 A/B 边界；稳则真实否则书面批准用模拟；视觉容差,,设计确认期,未开始,,需客户书面确认
R06,高,质量-外观,展车级外观经运输后,缝隙 ≤0.5mm/色差 delta-E ≤2.0；工厂→运输→安装→展出易变形,中,验收不通过,定制防护包装；可复位安装；可调配合面；备件；现场缝隙手册,,制造到展出,未开始,,
R07,高,技术-电气,整车电源 展会断电恢复,展会供电不稳；系统须 5 分钟内恢复演示态；UPS ≥5 分钟,中,演示中断,UPS 冗余；自动恢复(状态持久化)；先恢复 A 类；断电演练,,集成到展出,未开始,,跨站点：昆山硬件
R08,高,进度-造型,造型确认延迟波及全下游,确认(M1/W5)先于数据/机构/CMF；>2 轮评审压缩数据期,高,下游压缩,评审前预对齐；每轮明确意见清单+变更边界；M1 延迟=影响分析+延期申请,,M1 W5 / M2 W8,未开始,,关键路径上游
R09,中,技术-机构,中控机构噪音,安静展厅；机构噪音 >45dB 损体验,中,B 类打折,样机噪音测试；润滑+阻尼；噪音验收方法,,样机验收,未开始,,
R10,中,技术-软件,展会噪声下语音识别,高背景噪声；识别率或远低于 95%,高,B 类打折,麦克风阵列+定向拾音；现场噪声测试；触控作语音兜底,,集成到展出,未开始,,跨站点：杭州软件
R11,中,安全-电气,加热膜温控安全,分区 DC13V/NTC/≤70℃；长时运行或过热,中,安全隐患,验证 NTC 过温自切；分级报警(60℃提示/70℃切断)；现场巡检,,制造到展出,未开始,,安全项
R12,中,技术-表面,IMSE 膜片效果,B 类 ES；强环境光下背光图案或偏弱,中,B 类打折,S3 降低环境光；多光照测试；书面兜底,,集成,未开始,,
R13,中,进度-供货,甲供件到货延迟,部分为 ES 件；生产受客户供应链影响,中,制造延迟,约定到货节点；标准尺寸预制后微调；延期条款,,制造阶段,未开始,,关联 R02
R14,中,技术-机构,零重力座椅 × 旋转 兼容,前排须兼顾零重力与 180° 旋转；复杂度高,中,B 类/延迟,尽早确认供应商+机构；两模式互斥(旋转前复位)；分期,,设计阶段,未开始,,
R15,中,进度-展务,8 小时现场安装,卸车到可演示 ≤8h；对安装组织要求高,中,展前延迟,图文+视频手册；全流程彩排(≥1)；提前 48h 到场；工具备件就绪,,展前,未开始,,
R16,中,质量-外观,CMF 颜色批次一致性,多材质拼缝 delta-E ≤2.0；批量采购后难控,中,验收风险,先确认色板为基准；测样件 delta-E；预留 CMF 返工窗口,,CMF 阶段,未开始,,
R17,中,质量-外观,星空顶棚光纤走线隐藏,光纤须完全隐藏；数量大、走线复杂,中,外观风险,B 面设计规划走线通道；与供应商共设计；专项检查,,结构设计,未开始,,跨站点：昆山支持
