ID,待定项,类别,决策方,关闭节点,关闭日期,状态,影响章节,负责人,备注
A1,震动参数S05/S06/S08段(样机验证修正),技术决策,乙方测试+五院确认,工厂预调,2026-09-25,开放,第4/12/13章,,样机三测后定稿
A2,底部地屏舱箭分离联动画面方案,技术决策,双方联合,内容样片评审,2026-08-21,开放,第12章,,加分项
A3,内容科学性参数审定,技术决策,五院审定·乙方落实,内容样片评审,2026-08-21,机制已建立,第12.1节,,乙方先提科学性自查清单
A4,四点式安全带量产方案vs展示平替,技术决策,双方确认,需求冻结会,2026-06-26,开放,第4.2.3节,,不可顺延节点前必须关闭
A5,统一阶段模型,技术决策,—,方案编制阶段,—,已关闭,第12.2节,,结论见12.2
A6,内容责任边界,技术决策,—,方案编制阶段,—,已关闭,第12.1节,,结论见12.1
A7,健康/影像数据存储期限与归属,技术决策,双方书面确认,深化设计评审,2026-07-24,开放,第10.6/11.5节,,数据管理规则
A8,9座运营版是否纳入本期交付,技术决策,五院决策,需求冻结会,2026-06-26,开放,第4.1/13.2节,,不可顺延节点前必须关闭
B1,底部LED地屏效果图,文档素材,乙方设计,已闭环,—,已闭环,第3章,,图3-2/3-3已插入
B2,座舱域硬件拓扑图,文档素材,乙方软件团队,深化设计,—,部分闭环,第4章,,三端部署拓扑随深化补充
B3,一代实证数据提炼,文档素材,乙方项目组,方案定稿前,—,开放,第2.1节,,对应占位待补-2.1·缺数据待追
B4,宣传视频与装配预演视频,文档素材,乙方内容团队,内容样片评审,2026-08-21,开放,—,,
