ID,风险,等级,类别,影响,对策,落点章节,触发节点,状态,责任人,最近复盘,备注
R2,LED异形屏生产周期,高,进度-关键路径,关键路径直接延误,7/10前冻结尺寸结构并下单·周度排产对账·弧形箱体首件先行,第15.3节,7/10下单·9/18到货,监控,,2026-06-14,唯一红线级风险
R8,展馆进场窗口依赖组委会安排,高,供给-外部,进场晚于预期压缩现场作业,现场作业最小化·9月前锁窗口·供电报备,第15.3节,9月锁窗口,监控,,2026-06-14,不可控外部源
R3,多次拆装的LED损耗,中,跨场地-迁移,迁移后显示品质下降,迁移四机制编号/包装/复校/回归测试,第14.4节,两次转场,未启动,,2026-06-14,
R4,供电容量CAVE峰值126.324KW,中,工程-供电,现场无法满载运行,现场复测阶段完成供电前置确认,附录D,现场复测,监控,,2026-06-14,
R5,敏感人群体验边界,中,安全-体验,体验不适或安全事件,健康三级告警+处置链·每椅震动独立关闭·样机边界测试,第10/13章,样机阶段,未启动,,2026-06-14,安全项可暂停体验
R6,内容多屏适配,中,技术-内容,画面变形衔接错位,先建分屏模板与测试片再进正式制作,第12.4节,内容制作期,未启动,,2026-06-14,
R7,多供应商接口,中,跨供应商-接口,联调反复责任不清,接口责任矩阵附录H+工厂预联调机制,第13.3节,集成联调期,监控,,2026-06-14,
R1,现场网络依赖,中,技术-通信,通信功能受限,预留有线/专用无线·断网降级本地播报与公共广播,第11.3节,现场运行,未启动,,2026-06-14,
R9,健康设备接入,中,技术-健康,数据上报不稳定,优先选用成熟SDK与开放接口设备,第10.2节,设备选型,未启动,,2026-06-14,
S1,国庆假期落在集成调试期,中,进度-专项,人员排班与物流放缓,乙方自有场地连续作业排班+提前备料,第15.3.3节,10/1-10/7,监控,,2026-06-14,专项风险
S2,发运与进场期气象影响,中,进度-专项,发运/进场天气延误,发运预留气象余量·吊装动态排程·帐篷可后置,第15.3.3节,10月底-11月初,未启动,,2026-06-14,专项风险
S3,珠海现场作业窗口极短,高,进度-专项,进场至开幕仅数日无整改余量,出厂前T01-T08全通过·现场仅回归+彩排,第15.3.3节,进场窗口,监控,,2026-06-14,专项风险
